Concat Size,Duration,Init,Name,Run ID,Source Name,Source Type,Start Time,Status,Convergence Epoch,Layers,Learning Rate,Loss,Loss Val,Mae Test,Qubits,Rmse Test,Training Time,User,,203.7158837,209.356962
32,1.2min,xavier,sp50032103Xavier,4d9d2ff84cb849d2b673943688053926,C:\Users\52333\AppData\Roaming\Python\Python310\site-packages\ipykernel_launcher.py,LOCAL,12/01/2025 09:41:43 p. m.,FAILED,,5,0.05,,,,10,,,52333,206.3622328,13433.3594,
32,5.3min,xavier,sp5003283Xavier,4bbf103a9ce3495f82063a329e2b8afd,C:\Users\52333\AppData\Roaming\Python\Python310\site-packages\ipykernel_launcher.py,LOCAL,12/01/2025 09:36:16 p. m.,FINISHED,5,4,0.05,0.005447089,0.2179441,83.22685278,8,87.81351354,27.89748645,52333,14053.79883,13115.21385,
32,3.9min,xavier,sp5003263Xavier,365cbe15e78549399a3a4c09d6ada2a2,C:\Users\52333\AppData\Roaming\Python\Python310\site-packages\ipykernel_launcher.py,LOCAL,12/01/2025 09:32:16 p. m.,FINISHED,5,3,0.05,0.010840265,0.22485147,85.06834561,6,89.19420951,29.22195339,52333,13728.34568,8576.677429,
32,2.8min,xavier,sp5003243Xavier,7b6d158ce04249e89337a4322e5302b5,C:\Users\52333\AppData\Roaming\Python\Python310\site-packages\ipykernel_launcher.py,LOCAL,12/01/2025 09:29:23 p. m.,FINISHED,5,2,0.05,0.035564904,0.348894214,107.407921,4,111.105531,10.22131228,52333,9073.839241,14893.93231,
32,1.6min,xavier,sp5003223Xavier,33b20e83ee7f4a7da7f0e6f60cdae583,C:\Users\52333\AppData\Roaming\Python\Python310\site-packages\ipykernel_launcher.py,LOCAL,12/01/2025 09:27:46 p. m.,FINISHED,5,1,0.05,0.004371745,0.188539632,76.89325463,2,81.67518427,5.566130877,52333,15546.86007,996803.4374,
32,12.0min,xavier,btc_md32103Xavier,25e157c695c84b5ca70f52b076b7e4c5,C:\Users\52333\AppData\Roaming\Python\Python310\site-packages\ipykernel_launcher.py,LOCAL,12/01/2025 09:15:37 p. m.,FINISHED,5,5,0.05,5.81E-05,0.00012564,2179.169732,10,1202.116323,192.1429312,52333,991526.2084,233391.6459,
32,5.7min,xavier,btc_md3283Xavier,a741ac1443fe4d1d906ffcc2272a9d8d,C:\Users\52333\AppData\Roaming\Python\Python310\site-packages\ipykernel_launcher.py,LOCAL,12/01/2025 09:09:46 p. m.,FINISHED,5,4,0.05,5.54E-05,4.10E-05,1047.908737,8,686.8221307,54.33277249,52333,230841.7135,374343.575,
32,3.7min,xavier,btc_md3263Xavier,be951ddbee224917921d825b0c0293a0,C:\Users\52333\AppData\Roaming\Python\Python310\site-packages\ipykernel_launcher.py,LOCAL,12/01/2025 09:05:57 p. m.,FINISHED,5,3,0.05,6.35E-05,5.79E-05,1309.508759,6,815.5521158,23.99085593,52333,371112.3136,379581.8773,
32,3.0min,xavier,btc_md3243Xavier,452c5d6b52aa4d0099e32d828347f263,C:\Users\52333\AppData\Roaming\Python\Python310\site-packages\ipykernel_launcher.py,LOCAL,12/01/2025 09:02:53 p. m.,FINISHED,5,2,0.05,6.48E-05,5.84E-05,1330.619526,4,819.8180484,13.23329997,52333,376328.0377,380407.6596,
32,1.5min,xavier,btc_md3223Xavier,5e49108637154d1483f14fb9343965e4,C:\Users\52333\AppData\Roaming\Python\Python310\site-packages\ipykernel_launcher.py,LOCAL,12/01/2025 09:01:16 p. m.,FINISHED,5,1,0.05,6.92E-05,5.85E-05,1320.961444,2,820.487851,6.784865618,52333,377150.2749,19971.90598,
