Duration,Init,Name,Concat Size,Convergence Epoch,Layers,Learning Rate,Loss,Loss Val,Mae Test,Qubits,Rmse Test,Training Time,User,237.9682116,,209.88,265.62,,,suma total cuadr
1.8min,xavier,sp50016120Xavier,16,,6,0.0005,,,,12,,,52333,,,,,11.39,13.77,410.5445916
13.5min,xavier,sp50016100Xavier,16,33,5,0.0005,0.000240929,0.21952144,83.01248025,10,88.13070956,251.1850719,52333,22451.27701,8845803.143,14822.88972,,466.9921,,798.7349916
6.5min,xavier,sp5001680Xavier,16,41,4,0.0005,0.000615014,0.062600799,41.118157,8,47.06290545,63.02494097,52333,36444.83591,14359265.35,26509.40628,,876.7521,,10.63999161
4.4min,xavier,sp5001660Xavier,16,16,3,0.0005,0.004652315,0.37376306,111.3797061,6,114.9971253,20.4563129,52333,15121.88805,5958023.893,9002.759904,,21.2521,,1871.591992
3.4min,xavier,sp5001640Xavier,16,56,2,0.0005,0.00030066,0.048389471,37.61850721,4,41.37749851,15.01338959,52333,38647.90847,15227275.94,28393.09301,,1990.0521,,1541.496792
1.8min,xavier,sp5001620Xavier,16,52,1,0.0005,0.000111663,0.141659458,66.46488341,2,70.7964666,8.269284248,52333,27946.39232,11010878.58,19344.22926,,1649.1721,,59.87819161
22.4min,xavier,btc16129Xavier,16,5,6,0.0005,0.000138244,4.00E-05,294.7089035,12,339.2934581,562.995131,52333,10266.80557,4045121.396,16747.84313,,40.8321,,59.87819161
12.2min,xavier,btc16109Xavier,16,5,5,0.0005,0.000119529,9.34E-05,468.6378221,10,518.7002918,187.8157325,52333,78810.50088,31051337.35,95369.97264,,40.8321,,59.87819161
5.8min,xavier,btc1689Xavier,16,5,4,0.0005,0.000142454,3.42E-05,269.9019453,8,313.9957246,45.81652093,52333,5780.182737,2277391.998,10840.08411,,40.8321,,59.87819161
4.1min,xavier,btc1669Xavier,16,5,3,0.0005,0.000106932,0.000145767,593.697167,6,648.0197853,23.04454446,52333,168142.2931,66248063.5,191966.4715,,40.8321,,59.87819161
3.1min,xavier,btc1649Xavier,16,5,2,0.0005,0.000128018,4.28E-05,306.7414188,4,351.0670911,14.9808147,52333,12791.35656,5039794.483,19933.7947,,40.8321,,59.87819161
1.7min,xavier,btc1629Xavier,16,5,1,0.0005,0.00012732,2.06E-05,197.2067839,2,243.593034,6.258452654,52333,31.63862673,12465.61893,1136.568659,,40.8321,,977.3063916
29.3min,xavier,sp50016129Xavier,16,44,6,0.0005,0.000359291,0.13819018,65.35577366,12,69.92418067,968.453676,52333,28238.79633,11126085.75,19587.63137,,1063.4121,,32.92579161
10.8min,xavier,sp50016109Xavier,16,7,5,0.0005,0.004718507,0.38504591,113.1011081,10,116.7199393,105.8556809,52333,14701.14353,5792250.552,8678.79691,,19.2721,,1314.925392
6.2min,xavier,sp5001689Xavier,16,49,4,0.0005,6.24E-05,0.128260052,63.04447525,8,67.36502908,72.90579343,52333,29105.44588,11467545.68,20310.51694,,1414.5121,,495.5921916
4.1min,xavier,sp5001669Xavier,16,35,3,0.0005,9.40E-05,0.197658941,78.85846337,6,83.62709824,37.56024885,52333,23821.17927,9385544.633,15939.7952,,557.4321,,1173.877792
3.0min,xavier,sp5001649Xavier,16,47,2,0.0005,8.41E-05,0.160395973,70.00809166,4,75.33304552,14.85885048,52333,26450.19724,10421377.71,18102.88296,,1268.0721,,59.87819161
1.7min,xavier,sp5001629Xavier,16,5,1,0.0005,0.00452969,0.399833361,115.313988,2,118.9401028,5.362033367,52333,14167.69069,5582070.131,8270.064907,,40.8321,,59.87819161
22.1min,xavier,btc16128Xavier,16,5,6,0.0005,5.51E-05,3.87E-05,249.1487295,12,333.9870516,540.3895555,52333,9219.617642,3632529.351,15402.56026,,40.8321,,59.87819161
12.1min,xavier,btc16108Xavier,16,5,5,0.0005,0.000120962,4.07E-05,299.4382036,10,342.2799554,186.6826646,52333,10880.9399,4287090.321,17529.7482,,40.8321,,59.87819161
5.8min,xavier,btc1688Xavier,16,5,4,0.0005,0.00017446,3.95E-05,289.976244,8,337.1290344,59.26181078,52333,9832.868787,3874150.302,16192.31676,,40.8321,,59.87819161
3.8min,xavier,btc1668Xavier,16,5,3,0.0005,0.000110408,0.0001221,541.2198625,6,593.0829898,24.81830216,52333,126106.5057,49685963.25,146844.5314,,40.8321,,59.87819161
3.2min,xavier,btc1648Xavier,16,5,2,0.0005,0.000101709,0.000131144,562.5689424,4,614.6568199,13.32138848,52333,141894.3076,55906357.21,163844.2739,,40.8321,,59.87819161
1.6min,xavier,btc1628Xavier,16,5,1,0.0005,0.000128888,9.17E-05,463.0279263,2,513.9569384,5.668787241,52333,76169.77735,30010892.27,92462.78449,,40.8321,,743.2111916
28.2min,xavier,sp50016128Xavier,16,40,6,0.0005,0.000641021,0.125168143,62.14903065,12,66.54810616,920.8331025,52333,29384.85255,11577631.9,20544.03179,,818.5321,,1702.544392
14.8min,xavier,sp50016108Xavier,16,54,5,0.0005,0.000458331,0.17833418,74.72361476,10,79.43393728,359.3918409,52333,25133.11613,9902447.755,17016.17528,,1815.6121,,3511.972792
6.4min,xavier,sp5001688Xavier,16,72,4,0.0005,8.87E-05,0.162787437,70.64338042,8,75.89256635,105.6390891,52333,26268.51478,10349794.82,17952.63238,,3673.5721,,32.92579161
3.9min,xavier,sp5001668Xavier,16,7,3,0.0005,0.005368458,0.373364305,111.2993098,6,114.9357656,18.58094358,52333,15136.98276,5963971.207,9014.40764,,19.2721,,1040.830192
3.3min,xavier,sp5001648Xavier,16,45,2,0.0005,0.000219496,0.207596279,80.04326985,4,85.70350388,14.09958267,52333,23184.54121,9134709.238,15419.80219,,1129.6321,,410.5445916
1.8min,xavier,sp5001628Xavier,16,33,1,0.0005,3.89E-05,0.056412383,40.66554201,2,44.67617843,6.1618855,52333,37361.81008,14720553.17,27292.30266,,466.9921,,59.87819161
